"sample_id","tags"
"169","H_d5_r5","F9 R10"
"170","D1H_d3_r5","F10 R10"
"171","H_d1_r2","F11 R10"
"172","H_d1_r4","F12 R10"
"173","HDSynCom_Inoc","F13 R10"
"174","unused_tags_22","F14 R10"
"175","H_d2_r4","F15 R10"
"176","HD_d5_r1","F16 R10"
"177","D_d4_r5","F9 R11"
"178","D20H_d5_r1","F10 R11"
"179","D_d1_r2","F11 R11"
"180","D10H_d3_r3","F12 R11"
"181","unused_tags_23","F13 R11"
"182","D1H_d2_r4","F14 R11"
"183","D10H_d2_r4","F15 R11"
"184","unused_tags_24","F16 R11"
"185","unused_tags_25","F9 R12"
"186","unused_tags_26","F10 R12"
"187","unused_tags_27","F11 R12"
"188","unused_tags_28","F12 R12"
"189","unused_tags_29","F13 R12"
"190","unused_tags_30","F14 R12"
"191","unused_tags_31","F15 R12"
"192","neg_ctrl_PCR","F16 R12"
