"file","nb_read_pairs","sample_ID","tags"
"16SV4_revcomp/16S_F515DI13-16S_R806DI4.R1.fastq.gz",57430,"D_d3_r5","F13 R4"
"16SV4_revcomp/16S_F515DI13-16S_R806DI5.R1.fastq.gz",11994,"unused_tags_17","F13 R5"
"16SV4_revcomp/16S_F515DI13-16S_R806DI6.R1.fastq.gz",83947,"D1H_d2_r2","F13 R6"
"16SV4_revcomp/16S_F515DI13-16S_R806DI7.R1.fastq.gz",8983,"tn_extr_4","F13 R7"
"16SV4_revcomp/16S_F515DI13-16S_R806DI8.R1.fastq.gz",141151,"D_d4_r1","F13 R8"
"16SV4_revcomp/16S_F515DI13-16S_R806DI9.R1.fastq.gz",180384,"D1H_d1_r5","F13 R9"
"16SV4_revcomp/16S_F515DI14-16S_R806DI10.R1.fastq.gz",11383,"unused_tags_22","F14 R10"
"16SV4_revcomp/16S_F515DI14-16S_R806DI11.R1.fastq.gz",184221,"D1H_d2_r4","F14 R11"
"16SV4_revcomp/16S_F515DI14-16S_R806DI12.R1.fastq.gz",6441,"unused_tags_30","F14 R12"
"16SV4_revcomp/16S_F515DI14-16S_R806DI1.R1.fastq.gz",192174,"D20H_d2_r3","F14 R1"
"16SV4_revcomp/16S_F515DI14-16S_R806DI2.R1.fastq.gz",200583,"HD_d1_r2","F14 R2"
"16SV4_revcomp/16S_F515DI14-16S_R806DI3.R1.fastq.gz",207832,"D20H_d3_r2","F14 R3"
"16SV4_revcomp/16S_F515DI14-16S_R806DI4.R1.fastq.gz",98580,"D20H_d4_r2","F14 R4"
"16SV4_revcomp/16S_F515DI14-16S_R806DI5.R1.fastq.gz",234325,"D20H_d5_r4","F14 R5"
"16SV4_revcomp/16S_F515DI14-16S_R806DI6.R1.fastq.gz",12271,"unused_tags_18","F14 R6"
"16SV4_revcomp/16S_F515DI14-16S_R806DI7.R1.fastq.gz",186726,"H_d4_r3","F14 R7"
"16SV4_revcomp/16S_F515DI14-16S_R806DI8.R1.fastq.gz",166524,"D1H_d3_r4","F14 R8"
"16SV4_revcomp/16S_F515DI14-16S_R806DI9.R1.fastq.gz",225751,"D10H_d4_r1","F14 R9"
"16SV4_revcomp/16S_F515DI15-16S_R806DI10.R1.fastq.gz",38779,"H_d2_r4","F15 R10"
"16SV4_revcomp/16S_F515DI15-16S_R806DI11.R1.fastq.gz",155641,"D10H_d2_r4","F15 R11"
"16SV4_revcomp/16S_F515DI15-16S_R806DI12.R1.fastq.gz",5056,"unused_tags_31","F15 R12"
"16SV4_revcomp/16S_F515DI15-16S_R806DI1.R1.fastq.gz",210331,"D20H_d5_r5","F15 R1"
"16SV4_revcomp/16S_F515DI15-16S_R806DI2.R1.fastq.gz",9627,"HD_d2_r1","F15 R2"
"16SV4_revcomp/16S_F515DI15-16S_R806DI3.R1.fastq.gz",188697,"HD_d1_r4","F15 R3"
"16SV4_revcomp/16S_F515DI15-16S_R806DI4.R1.fastq.gz",95779,"D20H_d1_r1","F15 R4"
"16SV4_revcomp/16S_F515DI15-16S_R806DI5.R1.fastq.gz",176360,"D10H_d2_r5","F15 R5"
"16SV4_revcomp/16S_F515DI15-16S_R806DI6.R1.fastq.gz",103281,"D_d2_r2","F15 R6"
"16SV4_revcomp/16S_F515DI15-16S_R806DI7.R1.fastq.gz",8413,"unused_tags_19","F15 R7"
"16SV4_revcomp/16S_F515DI15-16S_R806DI8.R1.fastq.gz",22791,"tni_d5","F15 R8"
"16SV4_revcomp/16S_F515DI15-16S_R806DI9.R1.fastq.gz",12605,"unused_tags_21","F15 R9"
"16SV4_revcomp/16S_F515DI16-16S_R806DI10.R1.fastq.gz",58443,"HD_d5_r1","F16 R10"
"16SV4_revcomp/16S_F515DI16-16S_R806DI11.R1.fastq.gz",10703,"unused_tags_24","F16 R11"
"16SV4_revcomp/16S_F515DI16-16S_R806DI12.R1.fastq.gz",5192,"neg_ctrl_PCR_1","F16 R12"
"16SV4_revcomp/16S_F515DI16-16S_R806DI1.R1.fastq.gz",19619,"HD_d2_r3","F16 R1"
"16SV4_revcomp/16S_F515DI16-16S_R806DI2.R1.fastq.gz",151667,"D1H_d1_r2","F16 R2"
"16SV4_revcomp/16S_F515DI16-16S_R806DI3.R1.fastq.gz",179900,"D1H_d1_r4","F16 R3"
"16SV4_revcomp/16S_F515DI16-16S_R806DI4.R1.fastq.gz",94137,"D1H_d5_r5","F16 R4"
"16SV4_revcomp/16S_F515DI16-16S_R806DI5.R1.fastq.gz",154515,"HD_d4_r4","F16 R5"
"16SV4_revcomp/16S_F515DI16-16S_R806DI6.R1.fastq.gz",129921,"D20H_d5_r2","F16 R6"
"16SV4_revcomp/16S_F515DI16-16S_R806DI7.R1.fastq.gz",140667,"D1H_d2_r5","F16 R7"
"16SV4_revcomp/16S_F515DI16-16S_R806DI8.R1.fastq.gz",8599,"unused_tags_20","F16 R8"
"16SV4_revcomp/16S_F515DI16-16S_R806DI9.R1.fastq.gz",52220,"D10H_d3_r1","F16 R9"
"16SV4_revcomp/16S_F515DI2-16S_R806DI10.R1.fastq.gz",11348,"HD_d2_r5","F2 R10"
"16SV4_revcomp/16S_F515DI2-16S_R806DI11.R1.fastq.gz",158816,"D20H_d2_r2","F2 R11"
"16SV4_revcomp/16S_F515DI2-16S_R806DI12.R1.fastq.gz",84256,"D1H_d4_r5","F2 R12"
"16SV4_revcomp/16S_F515DI2-16S_R806DI1.R1.fastq.gz",108732,"D10H_d5_r1","F2 R1"
"16SV4_revcomp/16S_F515DI2-16S_R806DI2.R1.fastq.gz",4386,"unused_tags_2","F2 R2"
"16SV4_revcomp/16S_F515DI2-16S_R806DI3.R1.fastq.gz",158831,"HD_d1_r1","F2 R3"
"16SV4_revcomp/16S_F515DI2-16S_R806DI4.R1.fastq.gz",73087,"HD_d5_r2","F2 R4"
"16SV4_revcomp/16S_F515DI2-16S_R806DI5.R1.fastq.gz",11216,"tn_extr_3","F2 R5"
